latencies (ns)
196905500
106491200
146867100
78187300
173745500
83019700
103819300
150320500
93374600
106045200
250454200
101856800
177553500
155662800
138336300
122426500
70893700
124712800
170769300
122233200
109326800
153241700
91947700
89937800
154821600
214234800
237113700
162837200
173626600
91838300
99929900
153468900
89962800
159656500
88895500
113126300
175334000
251173500
158690800
76722000
97877900
169357000
72061500
69876200
103664100
165198200
85910700
166289100
161916700
88491900
110836800
160286000
77792600
177788400
88963900
91450300
170937700
90472800
107859400
172230000
137961900
86710600
119110500
140474100
102440200
161545000
83773200
99702800
177481400
149330600
93498300
160906200
81855200
107207000
153393100
96164400
116994100
227688200
89312800
101183100
152772000
84952100
165423000
188762600
96555100
96934700
168207900
148944800
92596900
159812400
92543800
98722600
151161500
90857600
107483700
158391700
75131000
91478500
99345400
183339200
177811300
143013400
175931000
81165400
102557200
143325700
105665900
153230000
91945800
94095200
150632700
86527400
85939700
101042900
181866900
94637700
87996600
181345100
143795100
94469700
161534000
80436200
109068700
159810600
69804600
124932600
135964800
98882700
153943700
95151300
124525100
160752300
60354700
86367400
92813000
175550400
106248400
146654000
97586900
162735300
165521400
88519400
165624600
186497400
91498600
97401700
241206100
103443900
151177900
101439000
170234600
59285500
95042900
76950000
120504800
158278400
84765100
160680400
90799100
112393100
253001600
105815500
146749500
184798200
104526800
102506500
137642500
102380100
170158500
75774400
155097300
87109000
104653300
167408300
75410100
202128200
148100900
167170100
125009900
131429400
111193000
156941600
71012000
90546200
88450000
169750300
85725100
94601600
169267300
70628200
186643700
111023000
57280100
85751000
111942000
158392900
78899700
121670300
172838500
139173400
88219500
77899400
106791800
162035600
78854000
89174100
81595200
211437900
162207200
99438900
226360000
90306800
119803900
138077300
82055300
97086300
100780800
80235100
93188900
68308200
168132900
173748400
96525700
120168100
167228400
148366800
170542700
74518700
88247000
103698200
151302400
85162900
113656500
153740200
82052800
120301600
140912300
102350500
251885300
109674800
172549700
65524000
77374800
103309000
165894800
75802700
118068500
181214500
137307700
93710500
160670700
68343100
109201000
251438000
115449200
142090300
94086100
81712400
101846200
181255100
139307800
104232500
158840400
90634200
92465700
161920100
74400100
96567600
103958000
172207100
146341700
85784900
124439400
148264800
86234500
164506700
78063900
107240400
150978000
83786400
93756400
84677600
117915000
64258600
85703400
97821700
178046100
167261300
173942300
73435900
113070600
149296100
85850100
85221900
100923600
105446100
142594800
103782400
150540000
86555200
111554000
227192300
201284300
149540700
82414300
93724300
92134900
162804500
90546300
112812900
145950000
87094500
171231400
89005200
103234500
157739900
85135000
85611300
212816300
57345900
96042200
87512500
161263500
89576600
108651500
161526000
172927700
89571300
164233100
89146400
98489900
153854000
100943500
192760100
96111600
144270100
90106000
161855900
84690000
165606700
117414600
142598900
103369200
164241400
82633300
119381200
138332400
115959800
145989800
157642700
98282600
94904400
154915300
84193200
176075000
78549500
93595700
170863700
75082000
86524200
91256300
161804200
86823600
96933300
194385200
66191800
111885100
232023400
111854100
184491600
137051600
90273200
165675500
171605300
86953900
176052000
153098000
92251700
127604600
118998000
86898400
178285900
94078500
166374300
111469200
172754700
144572600
231436300
97800000
103595800
155894900
91106800
178452300
90763200
100349300
183617300
169495200
94348300
111543100
178463600
176526200
185957500
115952000
169681800
118076900
174590800
61399000
82785400
102892700
162016100
87053300
163607300
109034300
148096500
99905100
153385100
88540000
127285000
178248700
133414900
99040400
176315500
158247900
168164300
87324300
116747900
129166700
111016200
63328500
168588000
182620800
77719000
114212500
124116300
84348300
88932500
109536900
160540600
152501400
172400500
89970700
103261800
155833900
85551900
115466800
150447000
86897300
85760900
99576200
158942800
90488400
170684100
122686200
140547300
104155000
156785300
85693300
116427000
140767100
104559600
154068900
89198500
95729600
87397500
